trade_id,exit_time,pnl_net,equity,peak_equity,equity_drawdown
1,2011-01-06 07:30:00,3075.0,3075.0,3075.0,0.0
2,2011-01-13 08:15:00,2662.5,5737.5,5737.5,0.0
3,2011-01-19 12:30:00,-1050.0,4687.5,5737.5,-1050.0
4,2011-01-20 11:30:00,-1087.5,3600.0,5737.5,-2137.5
5,2011-01-31 21:15:00,3037.5,6637.5,6637.5,0.0
6,2011-02-18 05:15:00,1950.0,8587.5,8587.5,0.0
7,2011-02-22 15:15:00,-1050.0,7537.5,8587.5,-1050.0
8,2011-03-01 13:15:00,-1125.0,6412.5,8587.5,-2175.0
9,2011-03-07 11:30:00,-1012.5,5400.0,8587.5,-3187.5
10,2011-03-14 10:30:00,-1012.5,4387.5,8587.5,-4200.0
11,2011-03-14 20:30:00,-1837.5,2550.0,8587.5,-6037.5
12,2011-03-16 14:00:00,-1275.0,1275.0,8587.5,-7312.5
13,2011-03-18 15:45:00,2550.0,3825.0,8587.5,-4762.5
14,2011-03-22 20:00:00,1012.5,4837.5,8587.5,-3750.0
15,2011-04-11 15:00:00,-1012.5,3825.0,8587.5,-4762.5
16,2011-04-18 00:00:00,2325.0,6150.0,8587.5,-2437.5
17,2011-04-18 03:15:00,-562.5,5587.5,8587.5,-3000.0
18,2011-04-20 07:30:00,3825.0,9412.5,9412.5,0.0
19,2011-04-28 06:45:00,2700.0,12112.5,12112.5,0.0
20,2011-05-04 10:00:00,-975.0,11137.5,12112.5,-975.0
21,2011-05-11 05:15:00,3450.0,14587.5,14587.5,0.0
22,2011-05-16 15:45:00,-712.5,13875.0,14587.5,-712.5
23,2011-05-17 11:30:00,-1012.5,12862.5,14587.5,-1725.0
24,2011-05-24 20:45:00,-1162.5,11700.0,14587.5,-2887.5
25,2011-05-27 07:00:00,2737.5,14437.5,14587.5,-150.0
26,2011-06-01 18:00:00,-1237.5,13200.0,14587.5,-1387.5
27,2011-06-02 11:45:00,-1012.5,12187.5,14587.5,-2400.0
28,2011-06-13 09:30:00,-1012.5,11175.0,14587.5,-3412.5
29,2011-06-21 19:15:00,5137.5,16312.5,16312.5,0.0
30,2011-06-28 09:00:00,3300.0,19612.5,19612.5,0.0
31,2011-07-06 10:15:00,-1012.5,18600.0,19612.5,-1012.5
32,2011-07-07 08:15:00,2850.0,21450.0,21450.0,0.0
33,2011-07-11 22:15:00,-1200.0,20250.0,21450.0,-1200.0
34,2011-07-13 13:15:00,2325.0,22575.0,22575.0,0.0
35,2011-07-21 10:45:00,5662.5,28237.5,28237.5,0.0
36,2011-07-27 08:30:00,-1387.5,26850.0,28237.5,-1387.5
37,2011-08-03 10:15:00,-1500.0,25350.0,28237.5,-2887.5
38,2011-08-08 20:00:00,-1650.0,23700.0,28237.5,-4537.5
39,2011-08-18 03:45:00,-1537.5,22162.5,28237.5,-6075.0
40,2011-08-18 15:00:00,-2850.0,19312.5,28237.5,-8925.0
41,2011-08-24 09:45:00,4375.0,23687.5,28237.5,-4550.0
42,2011-09-04 18:00:00,-1225.0,22462.5,28237.5,-5775.0
43,2011-09-07 13:15:00,4050.0,26512.5,28237.5,-1725.0
44,2011-09-12 03:45:00,-1225.0,25287.5,28237.5,-2950.0
45,2011-09-20 11:15:00,2525.0,27812.5,28237.5,-425.0
46,2011-09-26 02:00:00,-1000.0,26812.5,28237.5,-1425.0
47,2011-10-17 11:00:00,-1200.0,25612.5,28237.5,-2625.0
48,2011-10-18 03:45:00,-1225.0,24387.5,28237.5,-3850.0
49,2011-11-03 20:15:00,3275.0,27662.5,28237.5,-575.0
50,2011-11-09 14:00:00,-1300.0,26362.5,28237.5,-1875.0
51,2011-11-14 04:30:00,-1087.5,25275.0,28237.5,-2962.5
52,2011-11-14 11:45:00,-1575.0,23700.0,28237.5,-4537.5
53,2011-11-15 04:00:00,-1725.0,21975.0,28237.5,-6262.5
54,2011-12-05 23:45:00,-1312.5,20662.5,28237.5,-7575.0
55,2011-12-08 13:00:00,-1087.5,19575.0,28237.5,-8662.5
56,2011-12-12 04:45:00,-1687.5,17887.5,28237.5,-10350.0
57,2011-12-13 14:30:00,-1762.5,16125.0,28237.5,-12112.5
58,2011-12-19 15:00:00,-1912.5,14212.5,28237.5,-14025.0
59,2011-12-20 16:00:00,4162.5,18375.0,28237.5,-9862.5
60,2011-12-28 02:00:00,-1162.5,17212.5,28237.5,-11025.0
61,2011-12-28 10:15:00,-1200.0,16012.5,28237.5,-12225.0
